predicted_species,predicted_species_probs,sepal_length,sepal_width,petal_length,petal_width,species
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.99335413138440909""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0066458186350306422""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""4.9980560244260765e-08""
  }]
}",7.7,3.0,6.1,2.3,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.98508829379966911""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.014909179037609601""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""2.5271627211904205e-06""
  }]
}",6.4,2.8,5.6,2.2,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.97001684278369948""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.016419910374075274""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.013563246842225258""
  }]
}",5.8,2.7,4.1,1.0,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.98010128873128011""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.019820935281620749""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""7.7775987099153182e-05""
  }]
}",6.2,3.4,5.4,2.3,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.89116858608723837""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.10735407317538469""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0014773407373768945""
  }]
}",6.6,2.9,4.6,1.3,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.996432943656338""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0035670521995705465""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""4.1440913147630521e-09""
  }]
}",5.8,4.0,1.2,0.2,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.9742200588708696""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.025773072875441051""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""6.8682536892375377e-06""
  }]
}",6.9,3.1,5.1,2.3,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.8047394558925357""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.18853079567505479""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0067297484324095411""
  }]
}",6.4,3.2,4.5,1.5,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.98942952417060681""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.010570419324522523""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""5.650487067745672e-08""
  }]
}",4.7,3.2,1.6,0.2,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.98581019154538685""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.014189767795250493""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""4.0659362551348419e-08""
  }]
}",5.0,3.2,1.2,0.2,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.83895517136762654""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.16085684397294162""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00018798465943177921""
  }]
}",6.4,3.1,5.5,1.8,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.906705928134755""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.093272232005101777""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""2.18398601432381e-05""
  }]
}",6.4,2.7,5.3,1.9,virginica
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99344308460406416""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0065568987165856435""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.667935010817866e-08""
  }]
}",5.4,3.7,1.5,0.2,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.97153375932004826""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.028466010252183704""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""2.3042776790305561e-07""
  }]
}",4.8,3.0,1.4,0.3,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.989208030312881""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.010791629778756728""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""3.3990836233933725e-07""
  }]
}",5.0,3.5,1.6,0.6,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.97943571441890309""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.020564166872842918""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.187082540599177e-07""
  }]
}",4.8,3.1,1.6,0.2,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.90705893518463376""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.092601767301912816""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00033929751345348038""
  }]
}",5.6,2.8,4.9,2.0,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.98979368832278036""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.010204981746364011""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""1.3299308556877899e-06""
  }]
}",7.7,3.8,6.7,2.2,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.95845722401730693""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.041542288095907147""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""4.8788678593478878e-07""
  }]
}",7.4,2.8,6.1,1.9,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.94366637549054155""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.056332438018068774""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""1.1864913897413728e-06""
  }]
}",7.3,2.9,6.3,1.8,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.94666348580699755""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.04467959611021808""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.0086569180827843067""
  }]
}",5.0,2.3,3.3,1.0,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.92020342909876518""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.040240983654911841""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.039555587246322993""
  }]
}",5.7,3.0,4.2,1.2,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.99093637254680023""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.00906171494040098""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""1.9125127987684659e-06""
  }]
}",6.8,3.2,5.9,2.3,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.92139183892188881""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.075061083594196568""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0035470774839146155""
  }]
}",6.4,2.9,4.3,1.3,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99593729457041447""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.004062674068322631""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""3.1361262956354735e-08""
  }]
}",5.1,3.7,1.5,0.4,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.85970292317731378""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.10080024226936846""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.039496834553317754""
  }]
}",5.2,2.7,3.9,1.4,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.98877955946394724""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.011220382303018079""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""5.8233034614622393e-08""
  }]
}",4.6,3.1,1.5,0.2,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.719690760152983""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.27941322951348246""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00089601033353468428""
  }]
}",6.1,3.0,4.9,1.8,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.99723360079074019""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0027642711556975972""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""2.1280535622372094e-06""
  }]
}",6.3,3.3,6.0,2.5,virginica
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99261984302480444""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0073801217492308179""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""3.522596477909924e-08""
  }]
}",5.1,3.5,1.4,0.3,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.91348525390038382""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.069806550316162258""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.016708195783453939""
  }]
}",5.7,2.8,4.1,1.3,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99772703834669751""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0022729552534857481""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""6.399816707930411e-09""
  }]
}",5.1,3.8,1.6,0.2,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.82574425179431754""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.1678489411892144""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0064068070164681043""
  }]
}",6.1,3.0,4.6,1.4,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.96297545953967012""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.037017637301210084""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""6.9031591197969223e-06""
  }]
}",6.8,3.0,5.5,2.1,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.96360277505225345""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.036372386284373733""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""2.4838663372750925e-05""
  }]
}",6.7,3.3,5.7,2.1,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.97401926790402449""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.015739533256121391""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.010241198839854112""
  }]
}",5.0,2.0,3.5,1.0,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.88641488361914234""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.11356457005990481""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""2.0546320952928527e-05""
  }]
}",6.3,2.5,5.0,1.9,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.77610925022882449""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.22353637288989783""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00035437688127763051""
  }]
}",6.8,2.8,4.8,1.4,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.98617831737426154""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.013818286535686519""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""3.3960900519990508e-06""
  }]
}",6.5,3.0,5.8,2.2,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.963506151222877""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.026068054180535004""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.010425794596587948""
  }]
}",5.6,2.5,3.9,1.1,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99923182689113266""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.00076817189139527476""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.2174720910328145e-09""
  }]
}",4.6,3.6,1.0,0.2,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.9550072485998804""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.044986203797566369""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""6.5476025532223293e-06""
  }]
}",7.9,3.8,6.4,2.0,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.95239411963389187""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.034864295301744765""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.012741585064363356""
  }]
}",5.8,2.7,3.9,1.2,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99909562616791159""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.00090437261250593223""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.2195824888086002e-09""
  }]
}",5.5,4.2,1.4,0.2,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.93644161042557061""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.063513194576750573""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""4.519499767880198e-05""
  }]
}",5.7,2.5,5.0,2.0,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.89327524822213655""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.10671022646228011""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""1.4525315583314923e-05""
  }]
}",7.2,3.2,6.0,1.8,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.87526158658200737""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.12230680824606482""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0024316051719278789""
  }]
}",6.6,3.0,4.4,1.4,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.99625590489391647""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0037431329293235093""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""9.6217675998790633e-07""
  }]
}",7.2,3.6,6.1,2.5,virginica
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.985859442772094""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.014140477464788618""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""7.9763117292418536e-08""
  }]
}",4.4,2.9,1.4,0.2,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.98700337695413631""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0129965588251131""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""6.4220750589139668e-08""
  }]
}",5.7,3.8,1.7,0.3,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.85520993837609649""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.14449480478913124""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00029525683477219953""
  }]
}",6.3,2.3,4.4,1.3,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.98864879522391724""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.01135117703813477""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""2.7737947989393096e-08""
  }]
}",7.7,2.8,6.7,2.0,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.72005473492494232""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.27918056681643255""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00076469825862503433""
  }]
}",6.5,2.8,4.6,1.5,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.65390629991586247""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.3413570656719912""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0047366344121464315""
  }]
}",5.9,3.2,4.8,1.8,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99767641018026154""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.002323580198728688""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""9.6210097803793524e-09""
  }]
}",5.1,3.8,1.5,0.3,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.753860480595095""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.24459198461841772""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0015475347864873""
  }]
}",6.7,3.1,4.7,1.5,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.85720626096824781""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.14134157671104092""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0014521623207111557""
  }]
}",7.0,3.2,4.7,1.4,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.61105960528605241""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.38865754307508638""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.000282851638861207""
  }]
}",6.7,3.0,5.0,1.7,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99181283226076911""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0081871132332231762""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""5.4506007728985794e-08""
  }]
}",4.8,3.4,1.9,0.2,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99416362648688494""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0058363481656501124""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""2.5347464847387835e-08""
  }]
}",4.8,3.4,1.6,0.2,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.99266755775645477""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.007330846005498""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""1.5962380471950466e-06""
  }]
}",6.7,3.1,5.6,2.4,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.89793733288868394""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.094683292479134776""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.0073793746321812771""
  }]
}",5.1,2.5,3.0,1.1,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.79225286323364885""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.20415926678513471""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0035878699812164788""
  }]
}",6.1,2.9,4.7,1.4,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.99045206721532209""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0095381345844428936""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""9.79820023503013e-06""
  }]
}",5.8,2.8,5.1,2.4,virginica
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99489038750802672""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0051095992582053228""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.3233767926991979e-08""
  }]
}",5.3,3.7,1.5,0.2,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.94857115849660345""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.044021651855999905""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0074071896473966161""
  }]
}",5.8,2.6,4.0,1.2,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.990815055940302""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0091848780770417138""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""6.59826563330921e-08""
  }]
}",7.6,3.0,6.6,2.1,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.71443650665310776""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.2522881514214193""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.033275341925472934""
  }]
}",6.0,3.4,4.5,1.6,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99245943517244817""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0075405385323932678""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""2.6295158572993495e-08""
  }]
}",4.7,3.2,1.3,0.2,setosa
